Removed Pin From Net: NetName=NetC10_1 Pin=R9-1
Removed Pin From Net: NetName=GND Pin=U6-6
Change Component Comment : Designator=R33 Old Comment=1K5 1% New Comment=10K 1%
Change Component Comment : Designator=R34 Old Comment=1K5 1% New Comment=10K 1%
Change Component Comment : Designator=R9 Old Comment=14K 1% New Comment=9K31
Change Component Comment : Designator=R10 Old Comment=115K 1% New Comment=69K8
Change component parameters: Designator = "BAT1" ("BAT1"); Footprint = "CR1220H"; UniqueID = "\NJAAVEHV\BYFYWECB" ("\NJAAVEHV\BYFYWECB")
Change component parameters (AddParameter): Name = "Value"; Value = "FDN360P"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q7" ("Q7"); Footprint = "SOT23"; UniqueID = "\NJAAVEHV\WFRALTMH" ("\NJAAVEHV\WFRALTMH")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey PN"; Value = "FDN360PCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "FDN360P_SOT23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "FDN360PCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "FDN360P"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q8" ("Q8"); Footprint = "SOT23"; UniqueID = "\MLKEBXPQ\KVOVASFQ" ("\MLKEBXPQ\KVOVASFQ")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "FDN360P_SOT23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "FDN360PCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "FDN360P"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q9" ("Q9"); Footprint = "SOT23"; UniqueID = "\MLKEBXPQ\EGNFCKJV" ("\MLKEBXPQ\EGNFCKJV")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "FDN337N_SOT23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "FDN337NCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "FDN337N"; VariantName = "[No Variations]"
Change component parameters: Designator = "R1" ("R1"); Footprint = "0402"; UniqueID = "\BBQHUKED\XNFAUGNK" ("\BBQHUKED\XNFAUGNK")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_10K_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT10K0-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10K"; VariantName = "[No Variations]"
Change component parameters: Designator = "R2" ("R2"); Footprint = "0402"; UniqueID = "\BBQHUKED\JYYJXJSU" ("\BBQHUKED\JYYJXJSU")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_4K7_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT4K70CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "4K7"; VariantName = "[No Variations]"
Change component parameters: Designator = "R3" ("R3"); Footprint = "0402"; UniqueID = "\BBQHUKED\KDBOOEIE" ("\BBQHUKED\KDBOOEIE")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402FT100K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100K_1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402FT100KCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100K 1%"; VariantName = "[No Variations]"
Change component parameters: Designator = "R4" ("R4"); Footprint = "0402"; UniqueID = "\BBQHUKED\JAJQRETV" ("\BBQHUKED\JAJQRETV")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100K_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT100KCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100K"; VariantName = "[No Variations]"
Change component parameters: Designator = "R5" ("R5"); Footprint = "0402"; UniqueID = "\BBQHUKED\SJDYXBJM" ("\BBQHUKED\SJDYXBJM")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_1K_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT1K00CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1K"; VariantName = "[No Variations]"
Change component parameters: Designator = "R6" ("R6"); Footprint = "0402"; UniqueID = "\BBQHUKED\ODQBOEOX" ("\BBQHUKED\ODQBOEOX")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey PN"; Value = "RMCF0402FT10K0TR-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_10K_1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402FT10K0TR-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10K 1%"; VariantName = "[No Variations]"
Change component parameters: Designator = "R7" ("R7"); Footprint = "0402"; UniqueID = "\BBQHUKED\GQYVOBJF" ("\BBQHUKED\GQYVOBJF")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_0R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402ZT0R00CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "0R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R8" ("R8"); Footprint = "0402"; UniqueID = "\BBQHUKED\LVAAVXDC" ("\BBQHUKED\LVAAVXDC")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100K_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT100KCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100K"; VariantName = "[No Variations]"
Change component parameters: Designator = "R9" ("R9"); Footprint = "0402"; UniqueID = "\BBQHUKED\XZEPFMVM" ("\BBQHUKED\XZEPFMVM")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402FT9K31"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_9K31_1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "JP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402FT9K31CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "9K31"; VariantName = "[No Variations]"
Change component parameters: Designator = "R10" ("R10"); Footprint = "0402"; UniqueID = "\BBQHUKED\OJHWEEFY" ("\BBQHUKED\OJHWEEFY")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402FT69K8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_69K8_1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "JP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402FT69K8CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "69K8"; VariantName = "[No Variations]"
Change component parameters: Designator = "R11" ("R11"); Footprint = "0402"; UniqueID = "\BBQHUKED\AWDTUSTF" ("\BBQHUKED\AWDTUSTF")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402FT200K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_200K_1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "MM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402FT200KCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "200K 1%"; VariantName = "[No Variations]"
Change component parameters: Designator = "R12" ("R12"); Footprint = "0402"; UniqueID = "\BBQHUKED\GHWCQFJA" ("\BBQHUKED\GHWCQFJA")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402FT22K1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_22.1K_1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "MM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402FT22K1CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "22.1K 1%"; VariantName = "[No Variations]"
Change component parameters: Designator = "R13" ("R13"); Footprint = "0603"; UniqueID = "\MHDNAPTU\AREYCYFK" ("\MHDNAPTU\AREYCYFK")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0603_10R_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0603JT10R0CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R14" ("R14"); Footprint = "0603"; UniqueID = "\MHDNAPTU\KWNAOPYN" ("\MHDNAPTU\KWNAOPYN")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0603_10R_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0603JT10R0CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R15" ("R15"); Footprint = "0603"; UniqueID = "\MHDNAPTU\JMXFVLWG" ("\MHDNAPTU\JMXFVLWG")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0603_10R_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0603JT10R0CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R16" ("R16"); Footprint = "0603"; UniqueID = "\MHDNAPTU\PIQYVDUN" ("\MHDNAPTU\PIQYVDUN")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0603_10R_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0603JT10R0CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R17" ("R17"); Footprint = "0402"; UniqueID = "\MHDNAPTU\RROERCAJ" ("\MHDNAPTU\RROERCAJ")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey PN"; Value = "RMCF0402FT10K0TR-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_10K_1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402FT10K0TR-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10K 1%"; VariantName = "[No Variations]"
Change component parameters: Designator = "R18" ("R18"); Footprint = "0402"; UniqueID = "\SFEGAWHH\PIYPNKWR" ("\SFEGAWHH\PIYPNKWR")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey PN"; Value = "RMCF0402FT5K60CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402FT5K60"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_5K6_1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402FT5K60CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "5K6 1%"; VariantName = "[No Variations]"
Change component parameters: Designator = "R19" ("R19"); Footprint = "2010"; UniqueID = "\SFEGAWHH\CMFUJVNI" ("\SFEGAWHH\CMFUJVNI")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey PN"; Value = "RMCP2010FT470RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES2010_470R_1W_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCP2010FT470RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "470R 1W"; VariantName = "[No Variations]"
Change component parameters: Designator = "R20" ("R20"); Footprint = "0402"; UniqueID = "\SFEGAWHH\KAIIYIDB" ("\SFEGAWHH\KAIIYIDB")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_10K_1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402FT10K0TR-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10K 1%"; VariantName = "[No Variations]"
Change component parameters: Designator = "R21" ("R21"); Footprint = "0402"; UniqueID = "\SFEGAWHH\FCRFLKRJ" ("\SFEGAWHH\FCRFLKRJ")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_1K_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT1K00CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1K"; VariantName = "[No Variations]"
Change component parameters: Designator = "R22" ("R22"); Footprint = "0805"; UniqueID = "\SFEGAWHH\HPVHIVUU" ("\SFEGAWHH\HPVHIVUU")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0805_DNP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
